"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"SPICEPREFIX";
"C1";"10uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"16";"";"C";
"C2";"";"C-EU050-035X075";"C050-035X075";"CAPACITOR, European symbol";"";"";"";"";"2";"";"C";
"C3";"";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"16";"";"C";
"C4";"100uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"16";"";"C";
"C5";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C6";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C7";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C8";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C9";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C10";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C11";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C12";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C13";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C14";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C15";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C16";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C17";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
"C18";"";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";
